occupation_id,สาขาอาชีพหลัก
1,ก่อสร้าง
3,การตลาด/PR
4,การผลิต/QA-QC
5,การศึกษา/วิชาการ
6,ขนส่ง/คลังสินค้า
7,ขาย
8,โฆษณา/สื่อ
9,จัดซื้อ
10,ท่องเที่ยว/โรงเเรม
11,โทรคมนาคม
12,ธนาคาร/การเงิน
13,ธุรการ/การจัดการทั่วไป
15,การแพทย์
16,บริหาร/ผู้จัดการ
17,บัญชี
18,ประกันภัย
19,ราชการ/บริการสาธารณะ
20,วิทยาศาสตร์/Lab/วิจัยและพัฒนา
21,วิศวกรรม
22,สุขภาพ/โภชนาการ/ความงาม
23,อสังหาริมทรัพย์
24,ออกแบบ/เขียนแบบ/กราฟฟิค/ช่างภาพ
25,ไอที
26,อื่นๆ
27,E-commerce
28,สถาปนิก/มัณฑนากร
29,กฎหมาย
30,บันเทิง/นักแสดง/นักร้อง
31,เจ้าหน้าที่ความปลอดภัย(จป.)/สิ่งแวดล้อม
32,ช่าง/ช่างเทคนิค/อิเลคโทรนิค
33,นักเขียน/บรรณาธิการ/นักแปลภาษา
34,บุคคล/ฝึกอบรม
35,แม่บ้าน/พี่เลี้ยง/คนสวน/รปภ.
36,บริการลูกค้า/ลูกค้าสัมพันธ์/Call Center
38,เลขานุการ
39,นักวิเคราะห์/เศรษฐศาสตร์
40,คนขับรถ
41,เสื้อผ้า/สิ่งทอ/ช่างแพทเทิร์น
43,อัญมณีและเครื่องประดับ
44,อาหาร/เครื่องดื่ม/กุ๊ก/บาร์เทนเดอร์/พนักงานเสิร์ฟ
45,Part-time/พนักงานสัญญาจ้าง
47,มนุษยศาสตร์/ล่าม
48,ธรณีวิทยาและป่าไม้
49,ภูมิศาสตร์/แผนที่/GIS/ผังเมือง
52,ธุรกิจการบิน
53,พัฒนาธุรกิจและพัฒนาองค์กร
54,ห้างสรรพสินค้า
55,เจ้าหน้าที่เร่งรัดหนี้สิน
60,การค้าระหว่างประเทศ
